ชื่อสถานที่,X (longitude) ,y,picture
มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์ วิทยาเขตวังไกลกังวล ,99.96509116,12.48107544,https://drive.google.com/file/d/1jWqxxMli5x-GXk5mB58aWk561ry5q5PV/view?usp=sharing
วัดเขาตะเกียบ,99.9819143,12.51582818,https://drive.google.com/file/d/1jWqxxMli5x-GXk5mB58aWk561ry5q5PV/view?usp=sharing
